Organism / Model,Magnetic Condition,Biological Effect,Mechanism,Key Reference
Arabidopsis thaliana,Near-null (<1 µT),Delayed floral transition and flowering time,Cryptochrome (CRY1/CRY2) and phytochrome signaling disruption,Agliassa et al. (2018)
Arabidopsis thaliana,Near-null (<1 µT),Disrupted root directional growth and elongation,PIN2 polar auxin transport redistribution and meristem elongation,Narayana et al. (2018)
Arabidopsis thaliana,Hypomagnetic (<5 µT),Impaired iron acquisition and uptake homeostasis,Downregulation of FIT and IRT1 transcription factors,Narayana et al. (2021)
Arabidopsis thaliana,Near-null (<1 µT),Elevated reactive oxygen species (ROS) accumulation,Perturbation of redox signaling and catalase/SOD enzyme activity,Maffei (2014)
Higher Plants (General),Hypomagnetic (<5 µT),Reduced photosynthetic efficiency and chlorophyll synthesis,Thylakoid membrane ultrastructural disorganization,Belyavskaya (2004)
Microorganisms (Bacteria),Hypomagnetic (<5 µT),Altered cell division rates and metabolic flux,Membrane potential modulation and altered ion channel kinetics,Creanga et al. (2009)
Magnetotactic Bacteria,Near-null (<1 µT),Complete loss of magnetotaxis and directional motility,Loss of passive dipole alignment of intracellular magnetosomes,Frankel et al. (1981)
Gut Microbiome (Murine),Hypomagnetic (<5 µT),Restructuring of gut bacterial taxonomic diversity,Shifts in Bacteroidetes to Firmicutes phylum abundance ratios,Zhang et al. (2017)
Drosophila melanogaster,Hypomagnetic (<5 µT),Circadian rhythm period lengthening and arrhythmicity,Cryptochrome-mediated radical pair recombination modulation,Yoshii et al. (2009)
Drosophila melanogaster,Near-null (<1 µT),Embryonic developmental arrest and mortality,Mitochondrial metabolic dysfunction and ROS-induced apoptosis,Vitas et al. (2015)
Caenorhabditis elegans,Hypomagnetic (<5 µT),Disrupted burrowing orientation and magnetosensation,AFD sensory neuron signaling and DAF-16 FOXO pathway modulation,Vidal-Gadea et al. (2015)
Human Neuroblastoma Cells,Hypomagnetic (<1 µT),Altered cell cycle transcriptome and proliferation rate,Downregulation of cell division and DNA replication gene networks,Mo et al. (2012)
Mammalian Model (Rat),Hypomagnetic (<1 µT),Accelerated trabecular bone demineralization and osteopenia,Synergy between HMF and hindlimb unloading; osteoblast suppression,Xu et al. (2012)
Mammalian Model (Rat),Near-null (<1 µT),Exacerbated musculoskeletal bone mass loss,Enhanced osteoclast differentiation and calcium excretion,Mo et al. (2014)
Human Cardiovascular,Near-null (<1 µT),Altered microcirculatory capillary blood flow velocity,Endothelial nitric oxide synthase and autonomic tone modulation,Gurfinkel et al. (2014)
Mammalian Cells (General),Hypomagnetic (<1 µT),Altered DNA damage repair kinetics and genomic instability,Radical pair singlet-triplet spin-state interconversion dynamics,Binhi and Prato (2017)
